time,demo_network.H_2.gen.Throughput
0.000049,14.946
0.000098,14.946
0.000147,14.946
0.000196,14.946
0.000245,14.946
0.000294,14.946
0.000343,16.9021
0.000392,14.946
0.000441,14.946
0.00049,16.5182
0.000539,14.946
0.000588,14.946
0.000637,16.1403
0.000686,18.4564
0.000735,14.946
0.000784,15.4335
0.000833,17.6775
0.000882,14.946
0.000931,15.141
0.00098,17.289
0.001029,14.946
0.001078,15.4335
0.001127,17.6775
0.001176,14.946
0.001225,15.141
0.001274,17.289
0.001323,14.0672
0.001372,15.7473
0.001421,18.0663
0.00147,14.946
0.001519,15.141
0.001568,17.289
0.001617,14.946
0.001666,15.4335
0.001715,17.6775
0.001764,14.946
0.001813,15.7747
0.001862,18.0667
0.001911,14.946
0.00196,16.1403
0.002009,18.4564
0.002058,14.946
0.002107,16.5182
0.002156,14.946
0.002205,14.946
0.002254,16.9021
0.002303,14.946
0.002352,15.141
0.002401,17.289
0.00245,14.946
0.002499,15.4335
0.002548,17.6775
0.002597,14.946
0.002646,15.7747
0.002695,18.0667
0.002744,14.946
0.002793,16.1403
0.002842,18.4564
0.002891,14.946
0.00294,16.5182
0.002989,14.946
0.003038,14.946
0.003087,16.9021
0.003136,14.946
0.003185,14.946
0.003234,16.9021
0.003283,14.946
0.003332,15.141
0.003381,17.289
0.00343,14.946
0.003479,15.4335
0.003528,17.6775
0.003577,14.946
0.003626,15.7747
0.003675,18.0667
0.003724,14.946
0.003773,16.1403
0.003822,18.4564
0.003871,14.946
0.00392,16.5182
0.003969,14.946
0.004018,14.946
0.004067,16.9021
0.004116,14.946
0.004165,15.141
0.004214,17.289
0.004263,14.946
0.004312,15.4335
0.004361,17.6775
0.00441,14.946
0.004459,15.7747
0.004508,18.0667
0.004557,14.946
0.004606,16.1403
0.004655,18.4564
0.004704,14.946
0.004753,16.5182
0.004802,14.946
0.004851,14.946
0.0049,16.9021
0.004949,14.946
0.004998,15.141
0.005047,17.289
0.005096,14.946
0.005145,15.4335
0.005194,17.6775
0.005243,14.946
0.005292,15.7747
0.005341,18.0667
0.00539,14.946
0.005439,16.1403
0.005488,18.0667
0.005537,14.946
0.005586,16.1403
0.005635,18.4564
0.005684,14.946
0.005733,16.5182
0.005782,14.946
0.005831,14.946
0.00588,16.9021
0.005929,14.946
0.005978,15.141
0.006027,17.289
0.006076,14.946
0.006125,15.4335
0.006174,17.6775
0.006223,14.946
0.006272,15.7747
0.006321,18.0667
0.00637,14.946
0.006419,16.1403
0.006468,18.4564
0.006517,14.946
0.006566,16.5182
0.006615,14.946
0.006664,14.946
0.006713,16.9021
0.006762,14.946
0.006811,15.141
0.00686,17.289
0.006909,14.946
0.006958,15.4335
0.007007,17.6775
0.007056,14.946
0.007105,15.7747
0.007154,18.0667
0.007203,14.946
0.007252,16.1403
0.007301,18.4564
0.00735,14.946
0.007399,16.5182
0.007448,14.946
0.007497,14.946
0.007546,16.9021
0.007595,14.946
0.007644,15.141
0.007693,17.289
0.007742,14.946
0.007791,15.141
0.00784,17.289
0.007889,14.946
0.007938,15.4335
0.007987,17.6775
0.008036,14.946
0.008085,15.7747
0.008134,18.0667
0.008183,14.946
0.008232,16.1403
0.008281,18.4564
0.00833,14.946
0.008379,16.5182
0.008428,14.946
0.008477,14.946
0.008526,16.9021
0.008575,14.946
0.008624,15.141
0.008673,17.289
0.008722,14.946
0.008771,15.4335
0.00882,17.6775
0.008869,14.946
0.008918,15.7747
0.008967,18.0667
0.009016,14.946
0.009065,16.1403
0.009114,18.4564
0.009163,14.946
0.009212,16.5182
0.009261,14.946
0.00931,14.946
0.009359,16.9021
0.009408,14.946
0.009457,15.141
0.009506,17.289
0.009555,14.946
0.009604,15.4335
0.009653,17.6775
0.009702,14.946
0.009751,15.7747
0.0098,18.0667
0.009849,14.946
0.009898,16.1403
0.009947,18.4564
0.009996,14.946
0.010045,1.86825
0.010094,1.86825
0.010143,6.29223
0.010192,6.29353
0.010241,4.20376
0.01029,4.75234
0.010339,4.14526
0.010388,4.72403
0.010437,1.86825
0.010486,5.03304
0.010535,2.76707
0.010584,4.72403
0.010633,2.79254
0.010682,1.86825
0.010731,1.57468
0.01078,1.57435
0.010829,3.30866
0.010878,1.86825
0.010927,1.57435
0.010976,1.59857
0.011025,2.44971
0.011074,3.96541
0.011123,3.14644
0.011172,4.71831
0.011221,6.6565
0.01127,4.98226
0.011319,5.46969
0.011368,7.71378
0.011417,7.47299
0.011466,7.17978
0.011515,9.37589
0.011564,7.03199
0.011613,8.66047
0.011662,10.5935
0.011711,8.792
0.01176,9.24899
0.011809,11.523
0.011858,9.34123
0.011907,10.5356
0.011956,12.462
0.012005,13.0777
0.012054,11.2095
0.012103,13.1656
0.012152,13.0777
0.012201,12.4159
0.01225,14.6477
0.012299,14.946
0.012348,13.0777
0.012397,15.0338
0.012446,17.3678
0.012495,14.0672
0.012544,14.865
0.012593,16.7978
0.012642,14.946
0.012691,14.0656
0.01274,15.6394
0.012789,14.946
0.012838,14.0672
0.012887,16.1266
0.012936,18.4561
0.012985,14.946
0.013034,15.7747
0.013083,18.0667
0.013132,14.946
0.013181,15.4335
0.01323,17.6775
0.013279,14.946
0.013328,15.141
0.013377,17.289
0.013426,14.946
0.013475,14.946
0.013524,16.5182
0.013573,14.946
0.013622,14.946
0.013671,16.5182
0.01372,14.946
0.013769,14.946
0.013818,16.9021
0.013867,14.946
0.013916,14.946
0.013965,16.5182
0.014014,18.8462
0.014063,14.946
0.014112,16.1403
0.014161,18.4564
0.01421,14.946
0.014259,16.5182
0.014308,14.946
0.014357,14.946
0.014406,16.9021
0.014455,14.946
0.014504,15.141
0.014553,17.289
0.014602,14.946
0.014651,15.4335
0.0147,17.6775
0.014749,14.946
0.014798,15.4335
