time,demo_network.H_1.gen.Throughput
0.000025,40.0443
0.00005,40.0012
0.000075,39.5468
0.0001,38.9251
0.000125,38.6685
0.00015,38.0869
0.000175,37.0607
0.0002,36.2883
0.000225,35.8793
0.00025,35.4568
0.000275,34.1213
0.0003,34.1213
0.000325,33.1863
0.00035,32.7089
0.000375,32.2265
0.0004,30.2656
0.000425,29.7723
0.00045,29.2794
0.000475,28.2979
0.0005,27.8105
0.000525,27.3263
0.00055,26.3692
0.000575,25.8972
0.0006,24.5128
0.000625,24.0628
0.00065,23.619
0.000675,21.9099
0.0007,21.0968
0.000725,20.3122
0.00075,19.1893
0.000775,18.4765
0.0008,17.792
0.000825,17.4603
0.00085,16.201
0.000875,15.3253
0.0009,14.7726
0.000925,15.0459
0.00095,15.0459
0.000975,15.3253
0.001,15.3253
0.001025,15.6109
0.00105,15.9027
0.001075,15.9027
0.0011,16.201
0.001125,16.5058
0.00115,16.5058
0.001175,16.8172
0.0012,16.8172
0.001225,17.1353
0.00125,17.4603
0.001275,17.4603
0.0013,17.792
0.001325,18.1308
0.00135,18.1308
0.001375,18.4765
0.0014,18.4765
0.001425,18.8293
0.00145,19.1893
0.001475,19.1893
0.0015,19.5564
0.001525,19.9307
0.00155,19.9307
0.001575,20.3122
0.0016,20.3122
0.001625,20.7009
0.00165,21.0968
0.001675,21.0968
0.0017,21.4998
0.001725,21.9099
0.00175,21.9099
0.001775,22.327
0.0018,22.327
0.001825,22.7509
0.00185,23.1817
0.001875,23.1817
0.0019,23.1817
0.001925,22.7509
0.00195,21.4998
0.001975,20.7009
0.002,18.8293
0.002025,18.4765
0.00205,18.4765
0.002075,18.4765
0.0021,18.8293
0.002125,19.1893
0.00215,19.1893
0.002175,19.5564
0.0022,19.5564
0.002225,19.9307
0.00225,20.3122
0.002275,20.3122
0.0023,20.7009
0.002325,21.0968
0.00235,21.0968
0.002375,21.4998
0.0024,21.4998
0.002425,21.9099
0.00245,22.327
0.002475,22.327
0.0025,22.7509
0.002525,23.1817
0.00255,23.1817
0.002575,23.1817
0.0026,22.327
0.002625,21.4998
0.00265,20.7009
0.002675,19.9307
0.0027,19.1893
0.002725,18.8293
0.00275,18.1308
0.002775,18.4765
0.0028,18.4765
0.002825,18.8293
0.00285,19.1893
0.002875,19.1893
0.0029,19.5564
0.002925,19.9307
0.00295,19.9307
0.002975,20.3122
0.003,20.3122
0.003025,20.7009
0.00305,21.0968
0.003075,21.0968
0.0031,21.4998
0.003125,21.9099
0.00315,21.9099
0.003175,22.327
0.0032,22.327
0.003225,22.7509
0.00325,23.1817
0.003275,22.7509
0.0033,22.7509
0.003325,22.327
0.00335,21.4998
0.003375,20.7009
0.0034,19.1893
0.003425,18.1308
0.00345,17.792
0.003475,17.792
0.0035,18.1308
0.003525,18.4765
0.00355,18.4765
0.003575,18.8293
0.0036,18.8293
0.003625,19.1893
0.00365,19.5564
0.003675,19.5564
0.0037,19.9307
0.003725,20.3122
0.00375,20.3122
0.003775,20.7009
0.0038,20.7009
0.003825,21.0968
0.00385,21.4998
0.003875,21.4998
0.0039,21.9099
0.003925,22.327
0.00395,22.327
0.003975,22.7509
0.004,21.9099
0.004025,21.4998
0.00405,21.0968
0.004075,20.3122
0.0041,19.9307
0.004125,19.5564
0.00415,18.4765
0.004175,18.1308
0.0042,18.1308
0.004225,18.4765
0.00425,18.8293
0.004275,18.8293
0.0043,19.1893
0.004325,19.5564
0.00435,19.5564
0.004375,19.9307
0.0044,19.9307
0.004425,20.3122
0.00445,20.7009
0.004475,20.7009
0.0045,21.0968
0.004525,21.4998
0.00455,21.4998
0.004575,21.9099
0.0046,21.9099
0.004625,22.327
0.00465,22.7509
0.004675,22.7509
0.0047,23.1817
0.004725,22.7509
0.00475,21.4998
0.004775,20.3122
0.0048,19.1893
0.004825,18.4765
0.00485,18.1308
0.004875,17.4603
0.0049,17.4603
0.004925,17.792
0.00495,17.792
0.004975,18.1308
0.005,18.1308
0.005025,18.4765
0.00505,18.8293
0.005075,18.8293
0.0051,19.1893
0.005125,19.5564
0.00515,19.5564
0.005175,19.9307
0.0052,19.9307
0.005225,20.3122
0.00525,20.7009
0.005275,20.7009
0.0053,21.0968
0.005325,21.4998
0.00535,21.4998
0.005375,21.9099
0.0054,21.9099
0.005425,21.4998
0.00545,21.0968
0.005475,19.9307
0.0055,19.1893
0.005525,18.1308
0.00555,17.1353
0.005575,16.8172
0.0056,16.201
0.005625,16.201
0.00565,16.5058
0.005675,16.5058
0.0057,16.8172
0.005725,17.1353
0.00575,17.1353
0.005775,17.4603
0.0058,17.4603
0.005825,17.792
0.00585,18.1308
0.005875,18.1308
0.0059,18.4765
0.005925,18.8293
0.00595,18.8293
0.005975,19.1893
0.006,19.1893
0.006025,19.5564
0.00605,19.9307
0.006075,19.9307
0.0061,20.3122
0.006125,20.7009
0.00615,20.3122
0.006175,19.9307
0.0062,19.1893
0.006225,18.8293
0.00625,18.4765
0.006275,17.4603
0.0063,16.8172
0.006325,16.8172
0.00635,16.8172
0.006375,17.1353
0.0064,17.1353
0.006425,17.4603
0.00645,17.792
0.006475,17.792
0.0065,18.1308
0.006525,18.4765
0.00655,18.4765
0.006575,18.8293
0.0066,18.8293
0.006625,19.1893
0.00665,19.5564
0.006675,19.5564
0.0067,19.9307
0.006725,20.3122
0.00675,20.3122
0.006775,20.7009
0.0068,20.7009
0.006825,21.0968
0.00685,20.3122
0.006875,19.5564
0.0069,19.1893
0.006925,18.4765
0.00695,17.792
0.006975,17.4603
0.007,16.8172
0.007025,17.1353
0.00705,17.4603
0.007075,17.4603
0.0071,17.792
0.007125,18.1308
0.00715,18.1308
0.007175,18.4765
0.0072,18.4765
0.007225,18.8293
0.00725,19.1893
0.007275,19.1893
0.0073,19.5564
0.007325,19.9307
0.00735,19.9307
0.007375,20.3122
0.0074,20.3122
0.007425,20.7009
0.00745,21.0968
0.007475,21.0968
0.0075,21.0968
0.007525,21.0968
0.00755,20.3122
0.007575,19.1893
0.0076,18.1308
0.007625,17.792
0.00765,17.1353
0.007675,16.5058
0.0077,16.5058
0.007725,16.8172
0.00775,16.8172
0.007775,17.1353
0.0078,17.1353
0.007825,17.4603
0.00785,17.792
0.007875,17.792
0.0079,18.1308
0.007925,18.4765
0.00795,18.4765
0.007975,18.8293
0.008,18.8293
0.008025,19.1893
0.00805,19.5564
0.008075,19.5564
0.0081,19.9307
0.008125,20.3122
0.00815,20.3122
0.008175,19.9307
0.0082,19.1893
0.008225,18.8293
0.00825,18.1308
0.008275,17.4603
