time,demo_victim_network.H_2.gen.Throughput
0.0002,1.58106e+010
0.0004,9.99424e+009
0.0006,5.98016e+009
0.0008,3.19488e+009
0.001,1.6384e+009
0.0012,1.6384e+009
0.0014,1.72032e+009
0.0016,1.6384e+009
0.0018,1.72032e+009
0.002,1.6384e+009
0.0022,1.6384e+009
0.0024,1.72032e+009
0.0026,1.6384e+009
0.0028,1.6384e+009
0.003,1.72032e+009
0.0032,1.6384e+009
0.0034,1.6384e+009
0.0036,1.72032e+009
0.0038,1.6384e+009
0.004,1.6384e+009
0.0042,1.72032e+009
0.0044,1.6384e+009
0.0046,1.6384e+009
0.0048,1.72032e+009
0.005,1.6384e+009
0.0052,1.6384e+009
0.0054,1.72032e+009
0.0056,1.6384e+009
0.0058,1.6384e+009
0.006,1.72032e+009
0.0062,1.6384e+009
0.0064,1.6384e+009
0.0066,1.72032e+009
0.0068,1.6384e+009
0.007,1.6384e+009
0.0072,1.72032e+009
0.0074,1.6384e+009
0.0076,1.6384e+009
0.0078,1.72032e+009
0.008,1.6384e+009
0.0082,1.6384e+009
0.0084,1.72032e+009
0.0086,1.6384e+009
0.0088,1.72032e+009
0.009,1.6384e+009
0.0092,1.6384e+009
0.0094,1.72032e+009
0.0096,1.6384e+009
0.0098,1.6384e+009
0.01,1.72032e+009
0.0102,1.6384e+009
0.0104,1.6384e+009
0.0106,1.72032e+009
0.0108,1.6384e+009
0.011,1.6384e+009
0.0112,1.72032e+009
0.0114,1.6384e+009
0.0116,1.6384e+009
0.0118,1.72032e+009
0.012,1.6384e+009
0.0122,1.6384e+009
0.0124,1.72032e+009
0.0126,1.6384e+009
0.0128,1.6384e+009
0.013,1.72032e+009
0.0132,1.6384e+009
0.0134,1.6384e+009
0.0136,1.72032e+009
0.0138,1.6384e+009
0.014,1.6384e+009
0.0142,1.72032e+009
0.0144,1.6384e+009
0.0146,1.6384e+009
0.0148,1.72032e+009
0.015,1.6384e+009
0.0152,1.6384e+009
0.0154,1.72032e+009
0.0156,1.6384e+009
0.0158,1.6384e+009
0.016,1.72032e+009
0.0162,1.6384e+009
0.0164,1.72032e+009
0.0166,1.6384e+009
0.0168,1.6384e+009
0.017,1.72032e+009
0.0172,1.6384e+009
0.0174,1.6384e+009
0.0176,1.72032e+009
0.0178,1.6384e+009
0.018,1.6384e+009
0.0182,1.72032e+009
0.0184,1.6384e+009
0.0186,1.6384e+009
0.0188,1.72032e+009
0.019,1.6384e+009
0.0192,1.6384e+009
0.0194,1.72032e+009
0.0196,1.6384e+009
0.0198,1.6384e+009
0.02,1.72032e+009
0.0202,1.6384e+009
0.0204,1.6384e+009
0.0206,1.72032e+009
0.0208,1.6384e+009
0.021,1.6384e+009
0.0212,1.72032e+009
0.0214,1.6384e+009
0.0216,1.6384e+009
0.0218,1.72032e+009
0.022,1.6384e+009
0.0222,1.6384e+009
0.0224,1.72032e+009
0.0226,1.6384e+009
0.0228,1.6384e+009
0.023,1.72032e+009
0.0232,1.6384e+009
0.0234,1.72032e+009
0.0236,1.6384e+009
0.0238,1.6384e+009
0.024,1.72032e+009
0.0242,1.6384e+009
0.0244,1.6384e+009
0.0246,1.72032e+009
0.0248,1.6384e+009
0.025,1.6384e+009
0.0252,1.72032e+009
0.0254,1.6384e+009
0.0256,1.6384e+009
0.0258,1.72032e+009
0.026,1.6384e+009
0.0262,1.6384e+009
0.0264,1.72032e+009
0.0266,1.6384e+009
0.0268,1.6384e+009
0.027,1.72032e+009
